date,db,label,score,car_number,mark,file
20231116,61,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,66,Typing,0.5,340,2,20231116_skytrain_car_340.txt
20231116,63,Walk/footsteps,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,62,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,59,Insect,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,61,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,60,Walk/footsteps,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,61,Walk/footsteps,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,57,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,58,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,58,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,63,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,62,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,59,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,60,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,59,Writing,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,59,Speech,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,62,Animal,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,62,Animal,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,62,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,59,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,62,Inside/small room,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,61,Inside/small room,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,59,Insect,0.5,340,2,20231116_skytrain_car_340.txt
20231116,65,Animal,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,74,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,66,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,64,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,67,Animal,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,66,Animal,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,70,Animal,0.5,340,2,20231116_skytrain_car_340.txt
20231116,68,Animal,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,60,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,61,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,61,Animal,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,60,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,58,Walk/footsteps,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,59,Walk/footsteps,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,66,Horse,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,63,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,68,Walk/footsteps,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,66,Outside/rural or natural,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,63,Animal,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,67,Outside/rural or natural,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,67,Walk/footsteps,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,59,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,66,Horse,0.5,340,2,20231116_skytrain_car_340.txt
20231116,62,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,61,Outside/rural or natural,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,61,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,60,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,62,Animal,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,59,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,60,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,60,Animal,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,60,Animal,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,60,Animal,0.5859375,340,2,20231116_skytrain_car_340.txt
20231116,61,Animal,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,61,Animal,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,62,Animal,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,62,Animal,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,60,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,63,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,64,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,64,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,65,Outside/rural or natural,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,63,Horse,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,63,Animal,0.5,340,2,20231116_skytrain_car_340.txt
20231116,66,Horse,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,63,Animal,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,64,Horse,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,63,Animal,0.5,340,2,20231116_skytrain_car_340.txt
20231116,66,Horse,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,83,Bee/wasp/etc.,0.73828125,340,2,20231116_skytrain_car_340.txt
20231116,65,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,65,Insect,0.66796875,340,2,20231116_skytrain_car_340.txt
20231116,63,Insect,0.5,340,2,20231116_skytrain_car_340.txt
20231116,63,Insect,0.5,340,2,20231116_skytrain_car_340.txt
20231116,64,Insect,0.96875,340,2,20231116_skytrain_car_340.txt
20231116,62,Insect,0.99609375,340,2,20231116_skytrain_car_340.txt
20231116,62,Bee/wasp/etc.,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,64,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,69,Train,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,69,Rail transport,0.5,340,2,20231116_skytrain_car_340.txt
20231116,69,Train,0.80078125,340,2,20231116_skytrain_car_340.txt
20231116,68,Rail transport,0.8515625,340,2,20231116_skytrain_car_340.txt
20231116,67,Rail transport,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,68,Train,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,68,Rail transport,0.5,340,2,20231116_skytrain_car_340.txt
20231116,68,Rail transport,0.5,340,2,20231116_skytrain_car_340.txt
20231116,68,Rail transport,0.5859375,340,2,20231116_skytrain_car_340.txt
20231116,70,Train,0.4140625,340,2,20231116_skytrain_car_340.txt
20231116,67,Rail transport,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,60,Clip-clop,0.33203125,340,2,20231116_skytrain_car_340.txt
20231116,60,Animal,0.33203125,340,2,20231116_skytrain_car_340.txt
